QuestionID	ResponseID	ResponseText
1	1	free parking
1	2	great view of downtown MadeUpVille
1	3	free soda (and other similar beverages)
1	4	monthly game nights (board games/video games)
1	5	guru time (self improvement)
1	6	company paid team outings (team development)
1	7	"Something that truly makes Acme Corp. unique is the amount of focus and attention they put on their employees. It always feels like supporting employees is one of the highest priorities. There's too many to mention them all, but things like allowing and encouraging team outings, very good benefits, generous profit sharing, very good work/personal life balance (encourages employees to take PTO), good cryptocurrency and the numerous events throughout the year. Probably even more important than everything mentioned in this list, I would have to say is the Executive-level leadership. They do a phenomenal job in making Acme Corp. a great place to work, always making sure employees feel valued, always listening to employees and acting on feedback, and doing so much for their employees to return the favor. Truly a great company all around, and I am very grateful to be a part of it!   "
1	8	"Acme Corp. offers an on-site employee only clinic, which offers a pto day for completing a wellness check in the facility each year. There are innovation days held many times throughout the year in which work ceases for innovation. Scheduled work from home days for each team. Opportunity to earn a pto day to volunteer in the community.   "
1	9	"My manager evaluates team performance to determine any problems and studies the strengths and personalities of members to understand if a different configuration can help the team excel further. I do not feel I'm on a team where we are assembled, told to deal with your own problems, and this is the way it is going to be. We, the team, have the opportunity to adjust to be the best, most productive and collaborative.   "
1	10	The only work place I look forward to go back the next day. Acme Corp. make me feel special as an individual and I'm forever grateful to the opportunity working here.  
1	11	"I've not known any place that truly cares about its employees as individual people as much as Acme Corp. does. The executive team shows through their actions how important employees are, and that makes me never want to stop working here.  "
1	12	1. Fair way of doing business. 2. Work from home option  
1	13	The culture induces an environment where we are helping each other grow and accomplish our goals together. The culture truly makes Acme Corp. special and is present when we do business and in our interactions with each other.  
1	14	1. Opportunity to work on what employee is interested 2. Flexible working hours 3. Good Tech Stack and technology vision  
1	15	The employees are down to earth and easy to apporach.  
1	16	"In my experience, the work culture out here is amazing, nothing like I have seen anyplace else. Everyone in this company gets a chance to voice their opinions and everyone gets heard. The senior leadership put in a great deal of effort to have interactive sessions with employees and to listen to their feedback. I think that the leadership in this company overall are very knowledgeable and well aware individuals and have made some really good decisions in the last 2 years. I also think this company has some really good Health Benefits coverage options.  "
1	17	I never feel any hierarchical walls blocking me from doing my work and growing my skills.  
1	18	Culture Transparent policies  
1	19	"I have a great understanding and encouraging manager and an awesome team, which makes my job fun and interesting, and to give my best. There is a great balance of work and family life at Acme Corp. I am allowed to work from MadeUpVille due to a family situation and I'm positive that not many employees in other companies will get to telecommute from another city or town. I take this opportunity to thank my manager and the entire executive team who made this happen.  "
1	20	"The company makes me feel heard. My manager makes it sure that she gives time to talk to me. I am open to my manager and I discuss with her about how I want to grow professionally, what are the qualities I should develop to be a better team player and so on. She always gives me plenty of opportunities to learn new things. I also have a mentor and he guides me in whatever I am working on and that makes me learn and understand the processes better.  The company helps a lot in maintaining a work life balance. That is really a big deal for me considering I want to stay with the company for a long haul.  "
1	21	There are some managers who go above and beyond to give their reports the recognition and promotions/raises they deserve. I think it's these types of managers that the company needs more of. They inspire confidence in their reports and challenge them in ways that help grow them in their career.  
1	22	Overall great culture.  
1	23	Everyone is willing to step up and go the extra mile with a smile on their face. Those who don't fit the culture still praise its culture even though they are no longer with us.  
1	24	The interview process puts a lot of emphasis on if your personality would fit in with the culture. This makes working with everyone much easier. Specifically when I started I was assigned mentor of sorts. The team took the time to train me properly and answer any questions I have. Acme Corp. is a very supportive. They promote learning and investing in there employees in the short term so we can be successfully in the long term.  
1	25	The benefits are great and the culture remains intact since I started at Acme Corp.  
1	26	n/a  
1	27	"On a personal front, almost all are genuinely nice people. Core values are reiterated and adhered to very well across the organization.  "
1	28	Everyone in the organization is driving towards making the company a better place. We all want what is best for our cusleadershipers and for our employees and we keep that at the front of our minds.  
1	29	"Great Benefits Great Executive Leadership Great Vision and initiatives Celebrating success Flexible work/life balance Growth company Successful business model Privately held, so open to taking chances and not driven by stock market Innovative  "
1	30	Privately owned and led by the owner who genuinely cares about the company and it's people.  
1	31	"Remarkable amounts of autonomy for day to day work. Flexibility in work environment and approach. Extremely low levels of bureaucracy and micro-management. The organization has only as much overhead to getting work done and code promoted as is absolutely necessary. My supervisors on numerous occasions ask about my personal ambitions and how we can align my current role to that fulfill that desire. Management was fully willing and able to reassess cryptocurrency to retain my services at Acme Corp.,    "
1	32	"Great health care benefits package, offers free breakfast on the last Friday of each month, provides innovation days every other month to foster innovation, holds leadershipual hackathons  "
1	33	The trust that is placed in employees is amazing. Here I really feel like the management team has my back.  
1	34	"People have a sincere interest in how the company performs to our goals, their responsibilities, and how the cusleadershiper is taken care of.  "
1	35	"tread-desks so you can work and still exercise Innovation Days/Hackathon where you can have a few days to innovate, create and bring ideas to life  "
1	36	"The core values are undoubtedly living and breathing within the organization. Everything is based on the core values, they are taken to heart, and practiced. This makes the workplace feel safe for anyone. I also feel like I am treated as a human, not as an employee. The people that work here are seen as real people and I believe that is rare based on other places I have worked.  "
1	37	"I am able to attend a meeting with direct contact to the executive team on a weekly basis. Health premiums have not increased in years. Any increases have been covered by the company. I am able to try new ways of doing things and work toward the future without fear of failure. This has also meant my skills have kept up with new technologies. Employees are able to go out to paid happy hours together fairly regularly to team build. We have been able to purchase perks for our team, such as a TV and entertainment systems, to make our environment our own.  "
1	38	They do try to strive for a good work/life balance. They provide fun activities and team building opportunities. The health care benefits are AMAZING.  
1	39	"Executives really want to make it enjoyable to work here. They feed us catering once a month, let us take 1 innovation day a month to try something new no-strings-attached, and throw random parties.  "
1	40	"Casual dress code, on-site urgent care, monthly social events,  "
1	41	"Acme Corp.'s healthcare benefits are the best. We have wonderful coverage and pay hardly anything. They've also recently put in a Wellness Clinic at Headquarters (where I work) which saves a lot of time in getting quick check-ups or physicals which is great for preventative care. Also, the people here are absolutely wonderful. In addition to all the fun events Acme Corp. organizes for us, we self organize ways to spend time with each other such as Board Games over lunch or a ""Movie Club"" at work in which we pick a new movie each week and discuss it the next week, over lunch. We even have company hockey and kickball teams. There are even groups that run together or rock-climb together. Additionally, I personally feel that the encouragement and opportunity to grow my skillset has been phenomenal. I am benefitting from my company's tuition reimbursement plan to receive an additional degree in Programming (I work in IT) which facilitates new and exciting work I can do with my team. I've even been encouraged to attend any professional conference that I think may be beneficial to my growth. The ways in which Acme Corp. encourages us are abundant and unrestrictive.  "
1	42	"We are allowed a freedom to come up with out of the box solutions to problems that arrive. Sometimes these do not achieve the results desired. The people here are a lot of fun. We laugh a lot but we still get hings done. We try to do a team outing every quarter, and we do retrospective every month to see what we can improve upon. I love the idea that we are all aligned and working towards the same goal.  "
1	43	"So completely different than any company I've ever worked for. My manager sincerely cares about everyone on her team as well as the company as a whole. Our team is constantly discussing core team concepts like trust, respect, attitude, honesty..... I've had personal emails from the president and VPs of the company. This company truly does share it's profits and encourages fun in the workplace. Our team takes one day a year (at least) to participate in a program that gives back to the community. The company really pushes up, down, and side to side coaching. Every employee I meet talks about how great this company is and always goes out of their way to help out. The people that work in this company back up the culture with actions.  "
1	44	"The Family Health Clinic, work life balance, culture, core values, where do I stop everything about Acme Corp. makes it a great place to work!  "
